Journal name,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
HemaSphere,,2572-9241,HEMATOLOGY,SCIE,"3,394",14.6,Q1,1.29,99.54
Nature Ecology & Evolution,2397-334X,2397-334X,ECOLOGY,SCIE,"22,484",14.5,Q1,3.98,30.96
Journal of Extracellular Vesicles,,2001-3078,CELL BIOLOGY,SCIE,"15,159",14.5,Q1,2.3,98.79
DRUGS,0012-6667,1179-1950,PHARMACOLOGY & PHARMACY,SCIE,"22,644",14.4,Q1,3.22,22.05
Qualitative Psychology,2326-3601,2326-3598,"PSYCHOLOGY, MULTIDISCIPLINARY",ESCI,"2,189",14.3,Q1,3.72,9.71
Physics of Life Reviews,1571-0645,1873-1457,BIOLOGY,SCIE,"2,471",14.3,Q1,2.36,38.16
Autophagy,1554-8627,1554-8635,CELL BIOLOGY,SCIE,"33,386",14.3,Q1,1.67,21.55
JAMA Cardiology,2380-6583,2380-6591,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"14,345",14.1,Q1,4.05,14.37
TRENDS IN IMMUNOLOGY,1471-4906,1471-4981,IMMUNOLOGY,SCIE,"16,663",13.9,Q1,1.38,14.42
TRENDS IN MOLECULAR MEDICINE,1471-4914,1471-499X,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"13,652",13.8,Q1,1.34,16.11
BEHAVIORAL AND BRAIN SCIENCES,0140-525X,1469-1825,NEUROSCIENCES,SCIE,"11,874",13.7,Q1,3.33,2.27
Nature Chemical Biology,1552-4450,1552-4469,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"32,994",13.7,Q1,2.95,26.78
JOURNAL OF CLINICAL INVESTIGATION,0021-9738,1558-8238,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,"115,085",13.6,Q1,3.18,99.12
Interdisciplinary Medicine,2832-6237,2832-6245,"MEDICINE, RESEARCH & EXPERIMENTAL",ESCI,699,13.6,Q1,2.17,100.0
Experimental Hematology & Oncology,,2162-3619,HEMATOLOGY,SCIE,"3,391",13.5,Q1,1.95,100.0
Advances in Methods and Practices in Psychological Science,2515-2459,2515-2467,PSYCHOLOGY,SCIE,"3,656",13.4,Q1,5.46,98.88
